Transcript	Gene
uc001szl.1	ACSS3
uc001szm.1	ACSS3
uc001szn.1	ACSS3
uc001htm.2	ACTA1
uc001kfp.2	ACTA2
uc001kfq.2	ACTA2
uc010qmy.1	ACTA2
uc010qmz.1	ACTA2
uc003jrm.2	ACTBL2
uc003soq.3	ACTB
uc003sor.3	ACTB
uc003sos.3	ACTB
uc003sot.3	ACTB
uc010ksy.2	ACTB
uc011jwi.1	ACTB
uc001ziu.1	ACTC1
uc002kag.2	ACTG1
uc002kah.1	ACTG1
uc002kai.1	ACTG1
uc002kaj.1	ACTG1
uc002kak.1	ACTG1
uc002kal.1	ACTG1
uc010wun.1	ACTG1
uc002sjw.2	ACTG2
uc010fex.1	ACTG2
uc010fey.2	ACTG2
uc010yrn.1	ACTG2
uc003fjw.2	ACTL6A
uc003fjx.2	ACTL6A
uc003fjy.2	ACTL6A
uc003uvx.1	ACTL6B
uc003uvy.2	ACTL6B
uc003uvz.2	ACTL6B
uc004bdj.1	ACTL7A
uc004bdi.2	ACTL7B
uc001bat.2	ACTL8
uc002mkl.2	ACTL9
uc001xkk.2	ACTN1
uc001xkl.2	ACTN1
uc001xkm.2	ACTN1
uc001xkn.2	ACTN1
uc001xko.1	ACTN1
uc010ttb.1	ACTN1
uc010ttc.1	ACTN1
uc010ttd.1	ACTN1
uc001hyf.2	ACTN2
uc001hyg.2	ACTN2
uc001hyh.2	ACTN2
uc009xgi.1	ACTN2
uc010pxu.1	ACTN2
uc001oio.1	ACTN3
uc010rpi.1	ACTN3
uc002oja.1	ACTN4
uc002ojb.1	ACTN4
uc010egc.1	ACTN4
uc001xdf.2	ACTR10
uc001xdg.2	ACTR10
uc001xdh.2	ACTR10
uc010apc.2	ACTR10
uc010trp.1	ACTR10
uc001kvv.2	ACTR1A
uc010qqn.1	ACTR1A
uc010qqo.1	ACTR1A
uc002syb.2	ACTR1B
uc002sdp.2	ACTR2
uc002sdq.2	ACTR2
uc010yqf.1	ACTR2
uc010yqg.1	ACTR2
uc003wle.1	ACTR3B
uc003wlf.1	ACTR3B
uc003wlg.1	ACTR3B
uc011kvp.1	ACTR3B
uc003wgu.1	ACTR3C
uc002tkx.1	ACTR3
uc010yyc.1	ACTR3
uc010yyd.1	ACTR3
uc002xjd.2	ACTR5
uc001thb.1	ACTR6
uc001thc.1	ACTR6
uc001thd.1	ACTR6
uc001the.1	ACTR6
uc001thf.1	ACTR6
uc009ztu.1	ACTR6
uc010svh.1	ACTR6
uc003dhb.2	ACTR8
uc003dhc.2	ACTR8
uc003dhd.2	ACTR8
uc004eum.2	ACTRT1
uc001ajz.2	ACTRT2
uc001rzl.2	ACVR1B
uc001rzm.2	ACVR1B
uc001rzn.2	ACVR1B
uc010snn.1	ACVR1B
uc002tzk.3	ACVR1C
uc002tzl.3	ACVR1C
uc010foe.2	ACVR1C
uc010fof.2	ACVR1C
uc002tzm.3	ACVR1
uc002tzn.3	ACVR1
uc010fog.2	ACVR1
uc002twg.2	ACVR2A
uc002twh.2	ACVR2A
uc010zbn.1	ACVR2A
uc003cif.2	ACVR2B
uc003cig.2	ACVR2B
uc001rzj.2	ACVRL1
uc001rzk.2	ACVRL1
uc010snm.1	ACVRL1
uc003dcp.2	ACY1
uc003dcq.2	ACY1
uc011bea.1	ACY1
uc011beb.1	ACY1
uc001omq.2	ACY3
uc001xrf.2	ACYP1
uc001xrg.2	ACYP1
